Full Sample Set Results, Window Size=100000
pop	diffs/comps	diffs/comps*1000	n_regions	total_count_diffs	total_count_comparisons
Early_Cultivar	0.00599809398223488	5.99809398223488	4411	24074960415	4013768454830
Improved_Cultivar	0.00542009390019095	5.42009390019095	4411	242875714749	44810241154760
Landrace-A	0.00639247777552021	6.39247777552021	4411	16306072601	2550821946295
Landrace-B	0.00613629375358787	6.13629375358787	4411	32769678255	5340304680792
Wild	0.00955165685250347	9.55165685250348	4411	31356091703	3282790848457

Low Admixture Results, Window Size=100000
pop	diffs/comps	diffs/comps*1000	n_regions	total_count_diffs	total_count_comparisons
Low Admix Early cultivar	0.00586454857828139	5.86454857828139	4411	5462645794	931469101344
Low Admix Improved cultivar	0.00509977668373272	5.09977668373272	4411	67923432953	13318903388390
Low Admix Landrace A	0.00585737064808081	5.85737064808081	4411	2701781290	461261793444
Low Admix Landrace B	0.00586831119506709	5.86831119506709	4411	15997191116	2726029786806
Low Admix Wild	0.00986755183774854	9.86755183774854	4411	13218761090	1339619118030
NotInLowAdmix	0.00669274455299362	6.69274455299362	4411	270245122724	40378819269760

