Sample ID,Color
80010,Red
GH7082,White
80011,Red
80013,Orange
GH7083,White
GH7084,White
GH7085,White
GH7086,White
GH7089,White
GH7092,White
GH7093,White
S7,White
GH7094,White
GH7095,White
GH7096,White
S13,White
GH7097,White
GH7098,White
GH7099,White
80017,Orange
80018,Yellow
80020,White
GH7100,White
S8,White
S9,White
80024,Orange
GH7101,White
GH7103,White
GH7104,White
GH7105,White
GH7106,White
GH7108,White
GH7109,White
GH7110,White
80027,Orange
GH7111,White
80028,Orange
80002,Orange
80003,Orange
80004,Orange
80005,Orange
80006,Orange
80007,Orange
80008,Orange
80009,Orange
80047,Orange
80048,Orange
80049,Orange
80050,Orange
80051,Orange
80052,Orange
80053,Orange
80037,Orange
80038,Orange
80039,Orange
80040,Orange
80041,Orange
80042,Orange
80043,Orange
80044,Orange
80045,Orange
80029,Orange
80030,Orange
80031,Orange
80032,Orange
80034,Orange
80046,Orange
80035,Orange
80036,Orange
80054,Yellow
80056,Orange
80057,Orange
80059,Orange
80060,Yellow
80061,White
80062,Orange
80063,Orange
80064,Purple
80066,Orange
80067,Orange
80068,Orange
80069,Orange
80070,Orange
80071,Orange
80072,Purple
80076,Yellow
80077,Orange
80079,Orange
80080,Orange
80098,Orange
80101,Yellow
80103,Yellow
80104,Yellow
80106,Orange
80108,Yellow
80110,Purple
80111,Orange
80112,Yellow
80113,Orange
80114,Yellow
80115,Purple
80116,Purple
80117,Purple
80118,Purple
80119,Purple
80120,White
80122,Yellow
80123,Purple
80124,Yellow
GH7112,White
80127,Yellow
80130,Yellow
80131,Yellow
80132,White
80133,Purple
80134,White
80135,Orange
80136,Purple
80138,Yellow
80139,Yellow
80140,Purple
80141,Yellow
80142,Yellow
80144,Yellow
80145,Yellow
80146,Yellow
80147,Yellow
80148,Yellow
80149,Orange
80150,Orange
80151,Orange
80152,Orange
80153,Orange
80154,Orange
80155,Orange
80157,Purple
80160,Yellow
80162,Orange
80163,Orange
80164,Orange
80165,Purple
80167,White
80168,Purple
80170,Purple
80171,Yellow
80173,Orange
80174,Orange
80175,Yellow
80176,Purple
80177,Yellow
80180,Yellow
80181,Yellow
80182,Yellow
81353,Orange
80185,White
80186,Purple
80187,Yellow
80188,Yellow
80189,Purple
80191,Orange
80192,Orange
80194,Orange
80196,Orange
80197,Orange
80198,Orange
80199,Orange
80200,Orange
80201,Orange
80203,Orange
80204,Orange
GH7113,White
80205,Purple
80206,Yellow
80208,Yellow
80209,Orange
80210,Orange
80211,Orange
80212,Orange
80213,Orange
80214,Orange
80215,Orange
80217,Orange
80218,Purple
80219,Purple
80220,Purple
80221,Orange
80223,Orange
80226,Orange
80227,Orange
80228,Orange
80229,Orange
80231,Orange
80232,Orange
80233,Orange
80235,Orange
80236,Orange
80237,Orange
80238,Orange
80240,Orange
80241,Orange
80243,Orange
80245,Orange
80246,Orange
80247,Orange
80248,Orange
80249,Orange
80251,Yellow
80253,Orange
80254,Orange
80256,Orange
80258,Orange
80259,Orange
80260,Orange
GH7115,White
80262,Yellow
80263,Yellow
80264,Yellow
GH7116,White
80266,Orange
80267,Orange
GH7117,White
GH7118,White
80270,Orange
GH7119,White
80271,Orange
GH7120,White
80272,Orange
80273,Orange
80274,Orange
80275,Orange
80276,Orange
80277,Orange
GH7121,White
GH7123,White
80286,Orange
80287,Orange
80288,Orange
80290,Orange
80291,Orange
80292,Orange
80293,Orange
80294,Orange
80295,Orange
80296,Orange
80297,Orange
80298,White
80299,White
80300,Yellow
80301,Yellow
80302,Orange
80304,White
80307,Purple
80308,Purple
80312,Yellow
80313,Orange
80314,Orange
80315,Orange
80316,Orange
80317,Orange
80319,Orange
80320,Orange
80322,Orange
