PI Accession,Sample ID,Percent a +  B carotene,Percent Lutein,Shade,Total Carotenoids
NSL 34346,80043,0.97,0.02,Dark Orange,291.2268579
NSL 199857,80048,0.97,0.02,Dark Orange,955.1123414
PI 419084,80426,0.97,0.02,Dark Orange,2033.708567
PI 652137,80594,0.97,0.02,Dark Orange,1497.183561
PI 264669,80248,0.97,0.03,Dark Orange,707.7992521
PI 436674,80451,0.96,0.03,Dark Orange,3084.339894
PI 483348,80468,0.97,0.03,Dark Orange,347.1452985
PI 652124,80581,0.96,0.03,Dark Orange,1369.93786
NSL 54098,80045,0.96,0.04,Dark Orange,145.5041374
NSL 199868,80053,0.96,0.04,Dark Orange,998.7497375
PI 294079,80315,0.94,0.04,Dark Orange,1162.742872
PI 652131,80588,0.96,0.04,Dark Orange,562.8963916
PI 652135,80592,0.95,0.04,Dark Orange,901.2912366
PI 652136,80593,0.95,0.04,Dark Orange,711.7655194
PI 652258,80675,0.92,0.04,Dark Orange,4884.35964
Ames 7706,80005,0.94,0.05,Dark Orange,118.3859541
Ames 32056,80028,0.94,0.05,Dark Orange,545.7049418
NSL 199856,80047,0.94,0.05,Dark Orange,964.7951186
PI 169482,80077,0.95,0.05,Dark Orange,146.6780954
PI 261782,80232,0.94,0.05,Dark Orange,980.138516
PI 378882,80413,0.93,0.05,Dark Orange,1380.843813
PI 634657,80559,0.92,0.05,Dark Orange,334.7481296
PI 642756,80562,0.93,0.05,Dark Orange,1229.116937
PI 643115,80569,0.93,0.05,Dark Orange,1126.208699
PI 643118,80572,0.93,0.05,Dark Orange,1073.997019
PI 652122,80579,0.94,0.05,Dark Orange,1946.840531
PI 652169,80624,0.92,0.05,Dark Orange,3240.692729
PI 652171,80626,0.94,0.05,Dark Orange,1722.319317
PI 652172,80627,0.95,0.05,Dark Orange,161.9972362
Seminis 397694,80719,0.92,0.05,Dark Orange,1023.605735
W281C,80786,0.92,0.05,Dark Orange,1434.032749
Ames 7705,80004,0.93,0.06,Dark Orange,513.1287137
NSL 34344,80042,0.93,0.06,Dark Orange,269.6337343
NSL 199859,80049,0.92,0.06,Dark Orange,826.0528566
PI 225869,80196,0.94,0.06,Dark Orange,536.2945423
PI 277710,80276,0.93,0.06,Dark Orange,921.1851894
PI 285613,80292,0.94,0.06,Dark Orange,73.99064892
PI 294080,80316,0.93,0.06,Dark Orange,2001.887797
PI 294083,80319,0.94,0.06,Dark Orange,190.241138
PI 294084,80320,0.93,0.06,Dark Orange,2312.26216
PI 306588,80331,0.91,0.06,Dark Orange,598.728492
PI 325987,80344,0.91,0.06,Dark Orange,611.5232634
PI 325988,80345,0.92,0.06,Dark Orange,1900.337784
PI 379420,80419,0.94,0.06,Dark Orange,409.7544653
PI 419184,80429,0.94,0.06,Dark Orange,73.69262711
PI 432905,80448,0.91,0.06,Dark Orange,1051.92378
