TechRep,Sample.Name,Standard,TissueWeight,Solvent,Area.Xanthophyll,Lutein Conversion,ug/g dry Lutein,Area.alpha-Carotene,Alpha Conversion,ug/g dry Alpha,Area.beta-Carotene,Beta Conversion,ug/g dry Beta
80001,80001,66860.04298,0.1,1.893778452,5862,0.087675684,1.660383211,14801,0.221372876,4.192311824,25471,0.38095997,7.214537832
80001B,80001,66860.04298,0.1,1.893778452,5748,0.08597063,1.628093261,15881,0.237526021,4.498216612,27095,0.405249515,7.674527995
80002,80002,66860.04298,0.1,1.921092564,162217,2.426217405,46.60988217,125139,1.871655991,35.95624408,222095,3.321789668,63.81465433
80002B,80002,66860.04298,0.1,1.921092564,174042,2.603079392,50.00756464,133243,1.992864408,38.28476997,236928,3.543641156,68.07662676
80003,80003,66860.04298,0.101,1.874051593,61605,0.921402339,17.09658933,199544,2.984503017,55.37735282,351937,5.263786625,97.66938329
80003B,80003,66860.04298,0.101,1.874051593,65528,0.980077144,18.18529836,211250,3.159585166,58.62599618,368327,5.508925564,102.217928
80004,80004,66860.04298,0.101,1.884673748,114019,1.705338419,31.82184703,675523,10.10353823,188.5333986,1015220,15.18425587,283.3402814
80004B,80004,66860.04298,0.101,1.884673748,117057,1.750776619,32.66973003,681210,10.1885965,190.1205976,1048560,15.68290945,292.6452251
80005,80005,66860.04298,0.1,1.834597876,21581,0.322778734,5.921691789,123496,1.847082271,33.8865321,269873,4.036386876,74.05146787
80005B,80005,66860.04298,0.1,1.834597876,22682,0.339245968,6.223799322,130305,1.94892187,35.75487923,283766,4.244179144,77.86362042
80006,80006,66860.04298,0.101,1.884673748,165455,2.474646929,46.17724853,653124,9.76852498,182.2820058,956270,14.30256335,266.8877789
80006B,80006,66860.04298,0.101,1.884673748,172798,2.584473361,48.22662472,681482,10.1926647,190.1965107,1000491,14.96395987,279.229528
80007,80007,66860.04298,0.101,1.798179059,104306,1.560064806,27.77500857,711304,10.63870091,189.4088039,497105,7.435008681,132.3710586
80007B,80007,66860.04298,0.101,1.798179059,113601,1.699086554,30.25011743,763875,11.42498518,203.4076148,539368,8.067120151,143.6250151
80008,80008,66860.04298,0.101,1.871016692,145418,2.17496121,40.29097751,363678,5.439392256,100.7642941,627878,9.390930248,173.9662104
80008B,80008,66860.04298,0.101,1.871016692,150219,2.246767925,41.62119099,376180,5.626379871,104.2282243,654190,9.784468733,181.2564784
80009,80009,66860.04298,0.1,1.834597876,1558,0.023302408,0.427505482,,0,0,248,0.003709241,0.068049653
80009B,80009,66860.04298,0.1,1.834597876,1565,0.023407104,0.429426238,,0,0,565,0.008450488,0.155032476
80010,80010,66860.04298,0.102,1.802731411,8973,0.134205717,2.371930014,,0,0,,0,0
